企业,社会维度得分,净利润（亿元）,缴纳税费（亿元）,净利润纳税率（%）,女性员工比例（%）,研究生及以上学历占比（%）,员工流失率（%）,员工满意度,因公死亡人数,员工培训人次,安全培训人次,研发总额占营业收入比例,新增专利数,省部级以上科技奖,国家级优质工程奖,捐赠总额（万元）,员工志愿者人数,扶贫投入资金（万元）,农民工雇佣人数（万）,毕业生吸纳人数,员工保障（万元）
中国铁建2015,77.85,133.74,37.386,27.954,20.93,2.83,3.13,100,0,228328,,1.459,1300,126,39,1334,,385.5,217,11949,6979
中国铁建2016,77.85,148.508,41.187,27.734,20.99,3.19,3.13,100,0,378854,,1.501,1502,113,52,1334,,1293.96,232,13335,7037
中国铁建2017,82.73,169.192,43.366,25.631,20.89,3.56,3.13,100,0,408669,20000,1.527,1719,84,10,1006.65,20000,1733.76,232,15943,7181
中国铁建2018,90.78,198.384,52.669,26.549,20.95,3.669,3.13,100,0,468855,22600,1.585,3128,88,64,1902.52,32000,4003.6,,15000,7214
中国铁建2019,93.69,226.237,54.03,23.882,21.13,4.133,3.13,100,0,511385,25800,1.99,3349,82,11,4232.84,38000,5671.6,,15000,7604
中国铁建2020,82.02,257.087,57.819,22.49,19.79,4.595,3.13,100,0,1059931,26790,2.044,5099,107,61,11796.18,39000,8303,,15806,8545
中国铁建2021,84.52,293.152,58.362,19.909,21.76,5.385,3.13,100,0,1124889,27980,1.986,6638,98,11,6583.54,37000,4590.24,,15000,7196
中国铁建2022,84.21,317.528,60.717,19.122,21.73,5.703,3.13,100,0,1182195,29260,2.281,7931,63,74,6837.02,24175,3657.02,,17497,7916
中国铁建2023,75.01,323.287,64.994,20.104,21.54,6.094,3.13,100,0,1263596,212600,2.349,6799,79,86,4900.13,55847,4069.81,,,15332
中国中铁2010,68.03,74.88,22.131,29.556,16,1.278,3.12,100,0,300000,150000,1.689,519,18,15,2880,20000,188,180,16267,43200
中国中铁2011,78.57,66.9,23.607,35.287,16,1.332,3.12,100,0,300000,160000,2.105,519,5,27,,8829,188,150,13991,35919
中国中铁2012,71.26,73.5,25.574,34.794,16,1.332,3.12,100,0,300000,2290000,1.326,632,334,6,400.4,,278,150,5544,33203
中国中铁2013,69.81,93.7,34.354,36.664,16,1.332,3.12,100,0,300000,24000,1.52,979,583,9,239.9,13440,223,72,5446,36752
中国中铁2014,71.26,103.6,46.37,44.758,16,1.332,3.12,100,0,240000,2290000,1.585,904,283,24,179.9,16000,,150,7600,41383
中国中铁2015,66.95,122.58,45.205,36.878,16,1.332,3.12,100,0,300000,322326,1.648,1039,245,32,430.6,26000,300,180,6470,49056
中国中铁2016,69.81,125.09,49.696,39.729,16,2.379,3.12,100,0,300000,282326,1.62,1008,320,32,521.9,21000,,180,9702,49898
中国中铁2017,77.86,160.7,53.4,33.23,16,3.016,3.12,100,0,300000,,1.734,1206,298,8,5296.1,16414,6500,180,11014,51228
中国中铁2018,93.94,170.2,52.748,30.992,16,3.183,3.12,100,0,300000,,1.819,757,328,76,7017.1,15800,4254.9,180,11014,110968
中国中铁2019,91.26,236.8,59.538,25.143,16,3.702,3.12,100,0,300000,1924000,1.942,2065,328,67,8588.8,16000,12366,180,13502,23911
中国中铁2020,87.35,251.88,61.336,24.351,16,4.145,3.12,100,0,500000,5900,2.244,4933,345,66,21687.5,32000,16950.35,180,14109,29117
中国中铁2021,73.06,276.18,71.167,25.768,16,3.1,3,100,14,490000,365000,2.311,7170,436,71,7558.3,30000,6490,180,18225,20161
中国中铁2022,75.63,132.76,76.114,57.332,16.4,4.9,3.2,100,0,810000,342000,2.409,9256,525,73,8998,30000,8643,180,21461,27789
中国中铁2023,71.36,334.83,84.335,25.187,16.4,5.3,3.3,100,0,,353000,2.378,8324,480,111,9458.23,28000,8440,180,19000,29974
中国电建2011,70.28,36.191,10.45,28.875,20,0.83,3,100,0,55000,110000,0.5288,150,100,17,1279,15000,300,44.9,6500,2378.12
中国电建2012,71.15,40.94,11.55,28.212,20,1.003,2.9,100,0,57000,127275,0.5252,163,105,5,1272.48,15000,170.5,44.9,6806,9839
中国电建2013,66.78,45.538,11.715,25.725,20,1.303,3,100,0,60000,124164,0.8028,194,87,3,1390.3,15000,,44.9,,320.4
中国电建2014,66.28,47.863,18.41,38.464,20.76,1.529,2.8,100,0,117000,120451,2.3843,756,101,7,1247.62,18000,,44.9,,3500
中国电建2015,34.72,77.864,19.83,25.468,19.44,4.723,3,100,0,9000,134800,3.3719,1195,147,12,1056.83,18000,360,44.9,9349,7230
中国电建2016,73.19,97.751,21.89,22.393,20.71,5.342,2.6,100,0,115000,134700,2.6076,1370,183,,880.39,18000,1838.81,44.9,,
中国电建2017,81.42,109.11,28.554,26.17,20.9,5.243,3,100,0,120000,134000,2.8468,1445,206,,2815.67,18000,2645.83,44.9,,
中国电建2018,89.13,127.5,28.264,22.168,21.37,6.84,2.78,100,0,120000,131000,3.1386,2061,216,31,2157.7,20000,8618.15,44.9,8528,2200
中国电建2019,85.22,136.86,30.849,22.54,21.12,7.963,3,100,0,125000,132600,3.1072,1697,284,12,2461.96,21000,9099,44.9,9465,2000
中国电建2020,85.91,162.07,34.709,21.416,21.47,18.438,2.89,100,0,125000,131800,3.8004,1697,346,16,5793.22,22000,7358.06,44.9,,
中国电建2021,70.79,134.58,32.909,24.453,21.44,9.252,3.04,100,0,127000,132000,3.6837,4275,299,34,1839.15,24560,43392,44.9,9584,
中国电建2022,73.21,156.84,35.628,22.716,20.84,10.418,2.28,100,0,134000,164100,3.5394,7454,434,30,3049.56,26281,5276.16,44.9,11797,1233.9
中国电建2023,75.06,171.85,37.305,21.708,21,11.599,2.38,100,0,136000,165200,3.8119,7092,412,31,1671.41,28926,38603.57,44.9,13924,2928
